CONTENT_TYPE_ID,CODENAME,NAME
1,add_logentry,Can add log entry
1,change_logentry,Can change log entry
1,delete_logentry,Can delete log entry
1,view_logentry,Can view log entry
2,add_permission,Can add permission
2,change_permission,Can change permission
2,delete_permission,Can delete permission
2,view_permission,Can view permission
3,add_group,Can add group
3,change_group,Can change group
3,delete_group,Can delete group
3,view_group,Can view group
4,add_user,Can add user
4,change_user,Can change user
4,delete_user,Can delete user
4,view_user,Can view user
5,add_contenttype,Can add content type
5,change_contenttype,Can change content type
5,delete_contenttype,Can delete content type
5,view_contenttype,Can view content type
6,add_session,Can add session
6,change_session,Can change session
6,delete_session,Can delete session
6,view_session,Can view session